week,order_counterbalance,alien_counterbalance,set_counterbalance,block,condition,tr_type,tr_num,block_tr_num,audio,alien,tr_dur
2,2,1,1,1,hi,study,1,1,juss,C31,8600
2,2,1,1,1,hi,retrieve,2,2,juss,C31,3000
2,2,1,1,1,hi,study,3,3,juss,C31,8600
2,2,1,1,1,low,study,4,4,chev,G3,8600
2,2,1,1,1,low,retrieve,5,5,chev,G3,3000
2,2,1,1,1,low,study,6,6,chev,G3,8600
2,2,1,1,1,hi,study,7,7,wilp,E3,8600
2,2,1,1,1,hi,retrieve,8,8,wilp,E3,3000
2,2,1,1,1,hi,study,9,9,wilp,E3,8600
2,2,1,1,1,hi,retrieve,10,10,juss,C31,3000
2,2,1,1,1,hi,study,11,11,juss,C31,8600
2,2,1,1,1,low,retrieve,12,12,chev,G3,3000
2,2,1,1,1,low,study,13,13,chev,G3,8600
2,2,1,1,1,hi,retrieve,14,14,wilp,E3,3000
2,2,1,1,1,hi,study,15,15,wilp,E3,8600
2,2,1,1,1,hi,retrieve,16,16,juss,C31,3000
2,2,1,1,1,hi,study,17,17,juss,C31,8600
2,2,1,1,1,low,retrieve,18,18,chev,G3,3000
2,2,1,1,1,low,study,19,19,chev,G3,8600
2,2,1,1,1,hi,retrieve,20,20,wilp,E3,3000
2,2,1,1,1,hi,study,21,21,wilp,E3,8600
2,2,1,1,2,low,study,22,1,gazzer,B2,8600
2,2,1,1,2,low,retrieve,23,2,gazzer,B2,3000
2,2,1,1,2,low,study,24,3,gazzer,B2,8600
2,2,1,1,2,hi,study,25,4,pyzer,J3,8600
2,2,1,1,2,hi,retrieve,26,5,pyzer,J3,3000
2,2,1,1,2,hi,study,27,6,pyzer,J3,8600
2,2,1,1,2,low,study,28,7,modi,A1,8600
2,2,1,1,2,low,retrieve,29,8,modi,A1,3000
2,2,1,1,2,low,study,30,9,modi,A1,8600
2,2,1,1,2,low,retrieve,31,10,gazzer,B2,3000
2,2,1,1,2,low,study,32,11,gazzer,B2,8600
2,2,1,1,2,hi,retrieve,33,12,pyzer,J3,3000
2,2,1,1,2,hi,study,34,13,pyzer,J3,8600
2,2,1,1,2,low,retrieve,35,14,modi,A1,3000
2,2,1,1,2,low,study,36,15,modi,A1,8600
2,2,1,1,2,low,retrieve,37,16,gazzer,B2,3000
2,2,1,1,2,low,study,38,17,gazzer,B2,8600
2,2,1,1,2,hi,retrieve,39,18,pyzer,J3,3000
2,2,1,1,2,hi,study,40,19,pyzer,J3,8600
2,2,1,1,2,low,retrieve,41,20,modi,A1,3000
2,2,1,1,2,low,study,42,21,modi,A1,8600
1,2,1,2,1,low,study,1,1,foob,B23,8600
1,2,1,2,1,low,retrieve,2,2,foob,B23,3000
1,2,1,2,1,low,study,3,3,foob,B23,8600
1,2,1,2,1,hi,study,4,4,darg,E1,8600
1,2,1,2,1,hi,retrieve,5,5,darg,E1,3000
1,2,1,2,1,hi,study,6,6,darg,E1,8600
1,2,1,2,1,low,study,7,7,kulp,J2,8600
1,2,1,2,1,low,retrieve,8,8,kulp,J2,3000
1,2,1,2,1,low,study,9,9,kulp,J2,8600
1,2,1,2,1,low,retrieve,10,10,foob,B23,3000
1,2,1,2,1,low,study,11,11,foob,B23,8600
1,2,1,2,1,hi,retrieve,12,12,darg,E1,3000
1,2,1,2,1,hi,study,13,13,darg,E1,8600
1,2,1,2,1,low,retrieve,14,14,kulp,J2,3000
1,2,1,2,1,low,study,15,15,kulp,J2,8600
1,2,1,2,1,low,retrieve,16,16,foob,B23,3000
1,2,1,2,1,low,study,17,17,foob,B23,8600
1,2,1,2,1,hi,retrieve,18,18,darg,E1,3000
1,2,1,2,1,hi,study,19,19,darg,E1,8600
1,2,1,2,1,low,retrieve,20,20,kulp,J2,3000
1,2,1,2,1,low,study,21,21,kulp,J2,8600
1,2,1,2,2,hi,study,22,1,heab,A3,8600
1,2,1,2,2,hi,retrieve,23,2,heab,A3,3000
1,2,1,2,2,hi,study,24,3,heab,A3,8600
1,2,1,2,2,low,study,25,4,sarl,A33,8600
1,2,1,2,2,low,retrieve,26,5,sarl,A33,3000
1,2,1,2,2,low,study,27,6,sarl,A33,8600
1,2,1,2,2,hi,study,28,7,koba,I1,8600
1,2,1,2,2,hi,retrieve,29,8,koba,I1,3000
1,2,1,2,2,hi,study,30,9,koba,I1,8600
1,2,1,2,2,hi,retrieve,31,10,heab,A3,3000
1,2,1,2,2,hi,study,32,11,heab,A3,8600
1,2,1,2,2,low,retrieve,33,12,sarl,A33,3000
1,2,1,2,2,low,study,34,13,sarl,A33,8600
1,2,1,2,2,hi,retrieve,35,14,koba,I1,3000
1,2,1,2,2,hi,study,36,15,koba,I1,8600
1,2,1,2,2,hi,retrieve,37,16,heab,A3,3000
1,2,1,2,2,hi,study,38,17,heab,A3,8600
1,2,1,2,2,low,retrieve,39,18,sarl,A33,3000
1,2,1,2,2,low,study,40,19,sarl,A33,8600
1,2,1,2,2,hi,retrieve,41,20,koba,I1,3000
1,2,1,2,2,hi,study,42,21,koba,I1,8600
