week,order_counterbalance,set_counterbalance,tr_num,ld_tr_num,block_tr_num,block,condition,name,type,neighbor,correct_response
2,2,2,109,31,31,1,low,kulp,novel,kump,1
2,2,2,110,32,32,1,high,koba,familiar,coda,0
2,2,2,111,33,33,1,low,foob,familiar,fib,0
2,2,2,112,34,34,1,high,heab,familiar,heat,0
2,2,2,113,35,35,1,high,koba,novel,moba,1
2,2,2,114,36,36,1,high,koba,familiar,coma,0
2,2,2,115,37,1,2,low,kulp,familiar,cull,0
2,2,2,116,38,2,2,high,darg,familiar,darn,0
2,2,2,117,39,3,2,low,kulp,novel,kulg,1
2,2,2,118,40,4,2,low,sarl,familiar,snarl,0
2,2,2,119,41,5,2,high,koba,novel,roba,1
2,2,2,120,42,6,2,high,koba,novel,keeba,1
2,2,2,121,43,7,2,high,heab,familiar,hub,0
2,2,2,122,44,8,2,low,foob,familiar,fob,0
2,2,2,123,45,9,2,low,kulp,familiar,cup,0
2,2,2,124,46,10,2,high,heab,novel,leeb,1
2,2,2,125,47,11,2,low,kulp,novel,zulp,1
2,2,2,126,48,12,2,low,kulp,familiar,cult,0
2,2,2,127,49,13,2,low,sarl,novel,sarm,1
2,2,2,128,50,14,2,high,heab,familiar,he,0
2,2,2,129,51,15,2,low,sarl,familiar,sorry,0
2,2,2,130,52,16,2,low,kulp,novel,kulv,1
2,2,2,131,53,17,2,high,heab,novel,heb,1
2,2,2,132,54,18,2,high,heab,familiar,heap,0
2,2,2,133,55,19,2,high,koba,familiar,coca,0
2,2,2,134,56,20,2,low,kulp,familiar,pulp,0
2,2,2,135,57,21,2,high,heab,novel,heam,1
2,2,2,136,58,22,2,high,darg,novel,darce,1
2,2,2,137,59,23,2,high,heab,familiar,heave,0
2,2,2,138,60,24,2,low,foob,novel,foog,1
2,2,2,139,61,25,2,high,heab,familiar,heed,0
2,2,2,140,62,26,2,high,darg,novel,darp,1
2,2,2,141,63,27,2,low,foob,novel,foon,1
2,2,2,142,64,28,2,high,koba,familiar,cola,0
2,2,2,143,65,29,2,low,kulp,novel,kalp,1
2,2,2,144,66,30,2,low,foob,familiar,food,0
2,2,2,145,67,31,2,high,heab,novel,teab,1
2,2,2,146,68,32,2,low,sarl,novel,sark,1
2,2,2,147,69,33,2,low,foob,familiar,fool,0
2,2,2,148,70,34,2,high,heab,novel,heak,1
2,2,2,149,71,35,2,low,sarl,familiar,sorrow,0
2,2,2,150,72,36,2,high,koba,novel,kob,1
