week,order_counterbalance,alien_counterbalance,set_counterbalance,block,condition,tr_type,tr_num,block_tr_num,audio,alien,tr_dur
1,1,1,1,1,hi,study,1,1,juss,J3,8600
1,1,1,1,1,hi,retrieve,2,2,juss,J3,3000
1,1,1,1,1,hi,study,3,3,juss,J3,8600
1,1,1,1,1,low,study,4,4,sarl,A3,8600
1,1,1,1,1,low,retrieve,5,5,sarl,A3,3000
1,1,1,1,1,low,study,6,6,sarl,A3,8600
1,1,1,1,1,hi,retrieve,7,7,juss,J3,3000
1,1,1,1,1,hi,study,8,8,juss,J3,8600
1,1,1,1,1,low,retrieve,9,9,sarl,A3,3000
1,1,1,1,1,low,study,10,10,sarl,A3,8600
1,1,1,1,2,low,study,11,1,foob,E1,8600
1,1,1,1,2,low,retrieve,12,2,foob,E1,3000
1,1,1,1,2,low,study,13,3,foob,E1,8600
1,1,1,1,2,hi,study,14,4,pyzer,C31,8600
1,1,1,1,2,hi,retrieve,15,5,pyzer,C31,3000
1,1,1,1,2,hi,study,16,6,pyzer,C31,8600
1,1,1,1,2,low,retrieve,17,7,foob,E1,3000
1,1,1,1,2,low,study,18,8,foob,E1,8600
1,1,1,1,2,hi,retrieve,19,9,pyzer,C31,3000
1,1,1,1,2,hi,study,20,10,pyzer,C31,8600
2,1,1,2,1,low,study,1,1,gazzer,J2,8600
2,1,1,2,1,low,retrieve,2,2,gazzer,J2,3000
2,1,1,2,1,low,study,3,3,gazzer,J2,8600
2,1,1,2,1,hi,study,4,4,darg,E3,8600
2,1,1,2,1,hi,retrieve,5,5,darg,E3,3000
2,1,1,2,1,hi,study,6,6,darg,E3,8600
2,1,1,2,1,low,retrieve,7,7,gazzer,J2,3000
2,1,1,2,1,low,study,8,8,gazzer,J2,8600
2,1,1,2,1,hi,retrieve,9,9,darg,E3,3000
2,1,1,2,1,hi,study,10,10,darg,E3,8600
2,1,1,2,2,hi,study,11,1,hibe,I1,8600
2,1,1,2,2,hi,retrieve,12,2,hibe,I1,3000
2,1,1,2,2,hi,study,13,3,hibe,I1,8600
2,1,1,2,2,low,study,14,4,chev,A1,8600
2,1,1,2,2,low,retrieve,15,5,chev,A1,3000
2,1,1,2,2,low,study,16,6,chev,A1,8600
2,1,1,2,2,hi,retrieve,17,7,hibe,I1,3000
2,1,1,2,2,hi,study,18,8,hibe,I1,8600
2,1,1,2,2,low,retrieve,19,9,chev,A1,3000
2,1,1,2,2,low,study,20,10,chev,A1,8600
