week,order_counterbalance,alien_counterbalance,set_counterbalance,tr_num,ld_tr_num,block_tr_num,block,condition,name,type,neighbor,correct_response
1,1,2,2,94,16,16,1,low,chev,novel,ched,1
1,1,2,2,95,17,17,1,low,gazzer,novel,gabber,1
1,1,2,2,96,18,18,1,low,kulp,familiar,color,0
1,1,2,2,97,19,19,1,high,heab,familiar,herb,0
1,1,2,2,98,20,20,1,low,kulp,novel,kylp,1
1,1,2,2,99,21,21,1,low,kulp,familiar,cusp,0
1,1,2,2,100,22,22,1,low,gazzer,novel,gaker,1
1,1,2,2,101,23,23,1,low,kulp,familiar,gulp,0
1,1,2,2,102,24,24,1,high,darg,familiar,dart,0
1,1,2,2,103,25,25,1,high,wilp,familiar,willow,0
1,1,2,2,104,26,26,1,high,heab,novel,seeb,1
1,1,2,2,105,27,27,1,low,chev,novel,ev,1
1,1,2,2,106,28,28,1,high,darg,familiar,dark,0
1,1,2,2,107,29,29,1,high,heab,novel,hybe,1
1,1,2,2,108,30,30,1,high,heab,familiar,heath,0
1,1,2,2,109,31,31,1,low,kulp,novel,kump,1
1,1,2,2,110,32,32,1,high,wilp,familiar,wisp,0
1,1,2,2,111,33,33,1,low,chev,familiar,chive,0
1,1,2,2,112,34,34,1,high,heab,familiar,heat,0
1,1,2,2,113,35,35,1,high,wilp,novel,wilth,1
1,1,2,2,114,36,1,2,low,kulp,familiar,cull,0
1,1,2,2,115,37,2,2,high,darg,familiar,darn,0
1,1,2,2,116,38,3,2,low,kulp,novel,kulg,1
1,1,2,2,117,39,4,2,low,gazzer,familiar,lazar,0
1,1,2,2,118,40,5,2,high,wilp,novel,wilce,1
1,1,2,2,119,41,6,2,high,wilp,novel,willer,1
1,1,2,2,120,42,7,2,high,heab,familiar,hub,0
1,1,2,2,121,43,8,2,low,chev,familiar,check,0
1,1,2,2,122,44,9,2,low,kulp,familiar,cup,0
1,1,2,2,123,45,10,2,high,heab,novel,leeb,1
1,1,2,2,124,46,11,2,low,kulp,novel,zulp,1
1,1,2,2,125,47,12,2,low,kulp,familiar,cult,0
1,1,2,2,126,48,13,2,low,gazzer,novel,gazz,1
1,1,2,2,127,49,14,2,high,heab,familiar,he,0
