week,order,alien,set,tr_num,link_tr_num,condition,block,rep,name,alien,target,top_left,top_right,bot_center,correct_response
1,1,1,1,67,1,high,1,1,koba,A33,L,A33,J3,C31,0
1,1,1,1,68,2,high,2,1,pyzer,C31,C,J3,C31,A33,2
1,1,1,1,69,3,low,2,1,foob,E1,L,E1,G3,A3,0
1,1,1,1,70,4,high,1,1,juss,J3,R,C31,A33,J3,1
1,1,1,1,71,5,low,2,1,modi,G3,R,A3,E1,G3,1
1,1,1,1,72,6,low,1,1,sarl,A3,C,G3,A3,E1,2
1,1,1,1,73,7,high,1,2,juss,J3,L,J3,C31,A33,0
1,1,1,1,74,8,high,2,2,pyzer,C31,R,A33,J3,C31,1
1,1,1,1,75,9,low,2,2,foob,E1,C,A3,E1,G3,2
1,1,1,1,76,10,high,1,2,koba,A33,C,C31,A33,J3,2
1,1,1,1,77,11,low,2,2,modi,G3,L,G3,A3,E1,0
1,1,1,1,78,12,low,1,2,sarl,A3,R,E1,G3,A3,1
2,1,1,2,67,1,low,2,1,chev,A1,R,J2,A1,B23,1
2,1,1,2,68,2,high,1,1,darg,E3,R,I1,E3,B2,1
2,1,1,2,69,3,low,1,1,gazzer,J2,C,A1,B23,J2,2
2,1,1,2,70,4,high,2,1,wilp,B2,L,B2,I1,E3,0
2,1,1,2,71,5,high,2,1,heab,I1,C,E3,B2,I1,2
2,1,1,2,72,6,low,1,1,kulp,B23,L,B23,J2,A1,0
2,1,1,2,73,7,high,1,2,darg,E3,L,E3,B2,I1,0
2,1,1,2,74,8,low,2,2,chev,A1,L,A1,B23,J2,0
2,1,1,2,75,9,high,2,2,wilp,B2,C,I1,E3,B2,2
2,1,1,2,76,10,low,1,2,gazzer,J2,R,B23,J2,A1,1
2,1,1,2,77,11,low,1,2,kulp,B23,C,J2,A1,B23,2
2,1,1,2,78,12,high,2,2,heab,I1,R,B2,I1,E3,1
