week,order_counterbalance,alien_counterbalance,set_counterbalance,tr_num,link_tr_num,block_tr_num,block,condition,teaching_block,name,alien,target,top_left,top_right,bot_center,correct_response
2,1,1,1,67,1,1,1,high,1,koba,A33,L,A33,J3,C31,0
2,1,1,1,68,2,2,1,high,2,pyzer,C31,R,J3,C31,A33,1
2,1,1,1,69,3,3,1,low,2,foob,E1,L,E1,G3,A3,0
2,1,1,1,70,4,4,1,high,1,juss,J3,C,C31,A33,J3,2
2,1,1,1,71,5,5,1,low,2,modi,G3,C,A3,E1,G3,2
2,1,1,1,72,6,6,1,low,1,sarl,A3,R,G3,A3,E1,1
2,1,1,1,73,7,1,2,high,1,juss,J3,L,J3,C31,A33,0
2,1,1,1,74,8,2,2,high,2,pyzer,C31,C,A33,J3,C31,2
2,1,1,1,75,9,3,2,low,2,foob,E1,R,A3,E1,G3,1
2,1,1,1,76,10,4,2,high,1,koba,A33,R,C31,A33,J3,1
2,1,1,1,77,11,5,2,low,2,modi,G3,L,G3,A3,E1,0
2,1,1,1,78,12,6,2,low,1,sarl,A3,C,E1,G3,A3,2
1,1,1,2,67,1,1,1,low,2,chev,A1,R,J2,A1,B23,1
1,1,1,2,68,2,2,1,high,1,darg,E3,R,I1,E3,B2,1
1,1,1,2,69,3,3,1,low,1,gazzer,J2,C,A1,B23,J2,2
1,1,1,2,70,4,4,1,high,2,wilp,B2,L,B2,I1,E3,0
1,1,1,2,71,5,5,1,high,2,hibe,I1,C,E3,B2,I1,2
1,1,1,2,72,6,6,1,low,1,kulp,B23,L,B23,J2,A1,0
1,1,1,2,73,7,1,2,high,1,darg,E3,L,E3,B2,I1,0
1,1,1,2,74,8,2,2,low,2,chev,A1,L,A1,B23,J2,0
1,1,1,2,75,9,3,2,high,2,wilp,B2,C,I1,E3,B2,2
1,1,1,2,76,10,4,2,low,1,gazzer,J2,R,B23,J2,A1,1
1,1,1,2,77,11,5,2,low,1,kulp,B23,C,J2,A1,B23,2
1,1,1,2,78,12,6,2,high,2,hibe,I1,R,B2,I1,E3,1
