week,order,set,tr_num,ld_tr_num,block_tr_num,block,condition,name,type,neighbor
1,1,1,79,1,1,1,low,foob,novel,foom
1,1,1,80,2,2,1,high,juss,familiar,muss
1,1,1,81,3,3,1,low,foob,novel,doob
1,1,1,82,4,4,1,low,sarl,novel,sarg
1,1,1,83,5,5,1,high,pyzer,familiar,kaiser
1,1,1,84,6,6,1,high,koba,familiar,coca
1,1,1,85,7,7,1,low,modi,novel,moki
1,1,1,86,8,8,1,high,pyzer,novel,bizer
1,1,1,87,9,9,1,low,modi,familiar,mosey
1,1,1,88,10,10,1,low,foob,novel,foon
1,1,1,89,11,11,1,low,modi,familiar,toady
1,1,1,90,12,12,1,high,juss,novel,juv
1,1,1,91,13,13,1,low,modi,familiar,moody
1,1,1,92,14,14,1,low,sarl,familiar,marl
1,1,1,93,15,15,1,high,pyzer,familiar,riser
1,1,1,94,16,16,1,high,pyzer,novel,pimer
1,1,1,95,17,17,1,high,juss,novel,jiss
1,1,1,96,18,18,1,low,modi,familiar,modal
1,1,1,97,19,19,1,low,sarl,familiar,snarl
1,1,1,98,20,20,1,high,pyzer,familiar,poser
1,1,1,99,21,21,1,high,pyzer,novel,dizer
1,1,1,100,22,22,1,high,juss,familiar,bus
1,1,1,101,23,23,1,low,modi,novel,mofi
1,1,1,102,24,24,1,low,sarl,familiar,sorrow
1,1,1,103,25,25,1,high,juss,novel,duss
1,1,1,104,26,26,1,low,foob,familiar,food
1,1,1,105,27,27,1,high,pyzer,novel,lizer
1,1,1,106,28,28,1,low,sarl,novel,sarm
1,1,1,107,29,29,1,high,koba,familiar,coma
1,1,1,108,30,30,1,low,modi,novel,odi
1,1,1,109,31,31,1,high,koba,familiar,cobra
1,1,1,110,32,32,1,high,juss,familiar,thus
1,1,1,111,33,33,1,high,koba,novel,keeba
1,1,1,112,34,34,1,low,foob,familiar,fib
1,1,1,113,35,35,1,high,koba,novel,moba
1,1,1,114,36,1,2,low,modi,familiar,moly
1,1,1,115,37,2,2,high,juss,novel,jusp
1,1,1,116,38,3,2,high,koba,familiar,coda
1,1,1,117,39,4,2,low,modi,familiar,mode
1,1,1,118,40,5,2,low,foob,novel,foog
1,1,1,119,41,6,2,high,pyzer,novel,nizer
1,1,1,120,42,7,2,low,foob,familiar,fob
1,1,1,121,43,8,2,low,foob,novel,feeb
1,1,1,122,44,9,2,high,koba,novel,kloba
1,1,1,123,45,10,2,high,juss,novel,joss
1,1,1,124,46,11,2,low,foob,familiar,tube
1,1,1,125,47,12,2,low,foob,familiar,fool
1,1,1,126,48,13,2,low,sarl,novel,zarl
1,1,1,127,49,14,2,high,koba,novel,kob
1,1,1,128,50,15,2,low,modi,novel,mothi
1,1,1,129,51,16,2,high,pyzer,familiar,visor
1,1,1,130,52,17,2,low,sarl,familiar,gnarl
1,1,1,131,53,18,2,low,sarl,novel,saroo
1,1,1,132,54,19,2,high,pyzer,familiar,piker
1,1,1,133,55,20,2,high,juss,novel,luss
1,1,1,134,56,21,2,low,modi,novel,moti
1,1,1,135,57,22,2,high,pyzer,familiar,miser
1,1,1,136,58,23,2,low,sarl,novel,sark
1,1,1,137,59,24,2,high,juss,familiar,us
1,1,1,138,60,25,2,high,pyzer,novel,pauzer
1,1,1,139,61,26,2,low,modi,novel,modu
1,1,1,140,62,27,2,high,juss,familiar,pus
1,1,1,141,63,28,2,high,pyzer,novel,tizer
1,1,1,142,64,29,2,low,sarl,familiar,sorry
1,1,1,143,65,30,2,low,modi,familiar,middy
1,1,1,144,66,31,2,high,koba,novel,roba
