week,order,alien,set,tr_num,link_tr_num,block_tr_num,block,condition,teaching_block,name,alien,target,top_left,top_right,bot_center,correct_response
1,1,2,1,67,1,1,1,high,1,koba,G3,L,G3,E1,A3,0
1,1,2,1,68,2,2,1,high,2,pyzer,A3,C,E1,A3,G3,2
1,1,2,1,69,3,3,1,low,2,foob,J3,L,J3,A33,C31,0
1,1,2,1,70,4,4,1,high,1,juss,E1,R,A3,G3,E1,1
1,1,2,1,71,5,5,1,low,2,modi,A33,R,C31,J3,A33,1
1,1,2,1,72,6,6,1,low,1,sarl,C31,C,A33,C31,J3,2
1,1,2,1,73,7,1,2,high,1,juss,E1,L,E1,A3,G3,0
1,1,2,1,74,8,2,2,high,2,pyzer,A3,R,G3,E1,A3,1
1,1,2,1,75,9,3,2,low,2,foob,J3,C,C31,J3,A33,2
1,1,2,1,76,10,4,2,high,1,koba,G3,C,A3,G3,E1,2
1,1,2,1,77,11,5,2,low,2,modi,A33,L,A33,C31,J3,0
1,1,2,1,78,12,6,2,low,1,sarl,C31,R,J3,A33,C31,1
2,1,2,2,67,1,1,1,low,2,chev,E3,R,I1,E3,B2,1
2,1,2,2,68,2,2,1,high,1,darg,A1,R,J2,A1,B23,1
2,1,2,2,69,3,3,1,low,1,gazzer,I1,C,E3,B2,I1,2
2,1,2,2,70,4,4,1,high,2,wilp,B23,L,B23,J2,A1,0
2,1,2,2,71,5,5,1,high,2,heab,J2,C,A1,B23,J2,2
2,1,2,2,72,6,6,1,low,1,kulp,B2,L,B2,I1,E3,0
2,1,2,2,73,7,1,2,high,1,darg,A1,L,A1,B23,J2,0
2,1,2,2,74,8,2,2,low,2,chev,E3,L,E3,B2,I1,0
2,1,2,2,75,9,3,2,high,2,wilp,B23,C,J2,A1,B23,2
2,1,2,2,76,10,4,2,low,1,gazzer,I1,R,B2,I1,E3,1
2,1,2,2,77,11,5,2,low,1,kulp,B2,C,I1,E3,B2,2
2,1,2,2,78,12,6,2,high,2,heab,J2,R,B23,J2,A1,1
