order,phase,block,tr_num,block_tr_num,condition,tr_type,word,alien,audio,tr_dur
2B,1,2,51,23,low,retrieve,vib,C31,prompt,3000
2B,1,2,52,24,low,study,vib,C31,vib_retrieve,4000
2B,1,2,53,25,high,retrieve,soog,I1,prompt,3000
2B,1,2,54,26,high,study,soog,I1,soog_retrieve,4000
2B,1,2,55,27,low,retrieve,chouse,G3,prompt,3000
2B,1,2,56,28,low,study,chouse,G3,chouse_retrieve,4000
2B,2,1,57,1,high,study,fidge,A33,fidge_study,8600
2B,2,1,58,2,high,retrieve,fidge,A33,prompt,3000
2B,2,1,59,3,high,study,fidge,A33,fidge_retrieve,4000
2B,2,1,60,4,low,study,wath,A1,wath_study,8600
2B,2,1,61,5,low,retrieve,wath,A1,prompt,3000
2B,2,1,62,6,low,study,wath,A1,wath_retrieve,4000
2B,2,1,63,7,high,study,meeb,E1,meeb_study,8600
2B,2,1,64,8,high,retrieve,meeb,E1,prompt,3000
2B,2,1,65,9,high,study,meeb,E1,meeb_retrieve,4000
2B,2,1,66,10,low,study,chouse,G3,chouse_study,8600
2B,2,1,67,11,low,retrieve,chouse,G3,prompt,3000
2B,2,1,68,12,low,study,chouse,G3,chouse_retrieve,4000
2B,2,1,69,13,high,retrieve,fidge,A33,prompt,3000
2B,2,1,70,14,high,study,fidge,A33,fidge_retrieve,4000
2B,2,1,71,15,low,retrieve,wath,A1,prompt,3000
2B,2,1,72,16,low,study,wath,A1,wath_retrieve,4000
2B,2,1,73,17,high,retrieve,meeb,E1,prompt,3000
2B,2,1,74,18,high,study,meeb,E1,meeb_retrieve,4000
2B,2,1,75,19,low,retrieve,chouse,G3,prompt,3000
2B,2,1,76,20,low,study,chouse,G3,chouse_retrieve,4000
2B,2,1,77,21,high,retrieve,fidge,A33,prompt,3000
2B,2,1,78,22,high,study,fidge,A33,fidge_retrieve,4000
2B,2,1,79,23,low,retrieve,wath,A1,prompt,3000
2B,2,1,80,24,low,study,wath,A1,wath_retrieve,4000
2B,2,1,81,25,high,retrieve,meeb,E1,prompt,3000
2B,2,1,82,26,high,study,meeb,E1,meeb_retrieve,4000
2B,2,1,83,27,low,retrieve,chouse,G3,prompt,3000
2B,2,1,84,28,low,study,chouse,G3,chouse_retrieve,4000
2B,2,2,85,1,low,study,vib,C31,vib_study,8600
2B,2,2,86,2,low,retrieve,vib,C31,prompt,3000
2B,2,2,87,3,low,study,vib,C31,vib_retrieve,4000
2B,2,2,88,4,high,study,cuth,B2,cuth_study,8600
2B,2,2,89,5,high,retrieve,cuth,B2,prompt,3000
2B,2,2,90,6,high,study,cuth,B2,cuth_retrieve,4000
2B,2,2,91,7,low,study,nez,E3,nez_study,8600
2B,2,2,92,8,low,retrieve,nez,E3,prompt,3000
2B,2,2,93,9,low,study,nez,E3,nez_retrieve,4000
2B,2,2,94,10,high,study,soog,I1,soog_study,8600
2B,2,2,95,11,high,retrieve,soog,I1,prompt,3000
2B,2,2,96,12,high,study,soog,I1,soog_retrieve,4000
2B,2,2,97,13,low,retrieve,vib,C31,prompt,3000
2B,2,2,98,14,low,study,vib,C31,vib_retrieve,4000
2B,2,2,99,15,high,retrieve,cuth,B2,prompt,3000
2B,2,2,100,16,high,study,cuth,B2,cuth_retrieve,4000
2B,2,2,101,17,low,retrieve,nez,E3,prompt,3000
2B,2,2,102,18,low,study,nez,E3,nez_retrieve,4000
2B,2,2,103,19,high,retrieve,soog,I1,prompt,3000
2B,2,2,104,20,high,study,soog,I1,soog_retrieve,4000
2B,2,2,105,21,low,retrieve,vib,C31,prompt,3000
2B,2,2,106,22,low,study,vib,C31,vib_retrieve,4000
2B,2,2,107,23,high,retrieve,cuth,B2,prompt,3000
2B,2,2,108,24,high,study,cuth,B2,cuth_retrieve,4000
2B,2,2,109,25,low,retrieve,nez,E3,prompt,3000
2B,2,2,110,26,low,study,nez,E3,nez_retrieve,4000
2B,2,2,111,27,high,retrieve,soog,I1,prompt,3000
2B,2,2,112,28,high,study,soog,I1,soog_retrieve,4000
