week,order_counterbalance,alien_counterbalance,set_counterbalance,tr_num,ld_tr_num,block_tr_num,block,condition,name,type,neighbor,correct_response
1,1,1,1,33,1,1,1,low,foob,novel,foom,1
1,1,1,1,34,2,2,1,high,juss,familiar,muss,0
1,1,1,1,35,3,3,1,low,foob,novel,doob,1
1,1,1,1,36,4,1,2,high,juss,novel,jusp,1
1,1,1,1,37,5,2,2,low,foob,novel,foog,1
1,1,1,1,38,6,3,2,high,pyzer,novel,nizer,1
2,1,1,2,33,1,1,1,high,hibe,familiar,hie,0
2,1,1,2,34,2,2,1,low,gazzer,novel,tazzer,1
2,1,1,2,35,3,3,1,low,chev,novel,chep,1
2,1,1,2,36,4,1,2,high,darg,familiar,darn,0
2,1,1,2,37,5,2,2,low,gazzer,familiar,lazar,0
2,1,1,2,38,6,3,2,high,hibe,familiar,herb,0
