week,order,alien,set,tr_num,link_tr_num,condition,block,rep,name,alien,target,top_left,top_right,bot_center,correct_response
2,1,2,1,67,1,high,1,1,koba,G3,L,G3,E1,A3,0
2,1,2,1,68,2,high,2,1,pyzer,A3,C,E1,A3,G3,2
2,1,2,1,69,3,low,2,1,foob,J3,L,J3,A33,C31,0
2,1,2,1,70,4,high,1,1,juss,E1,R,A3,G3,E1,1
2,1,2,1,71,5,low,2,1,modi,A33,R,C31,J3,A33,1
2,1,2,1,72,6,low,1,1,sarl,C31,C,A33,C31,J3,2
2,1,2,1,73,7,high,1,2,juss,E1,L,E1,A3,G3,0
2,1,2,1,74,8,high,2,2,pyzer,A3,R,G3,E1,A3,1
2,1,2,1,75,9,low,2,2,foob,J3,C,C31,J3,A33,2
2,1,2,1,76,10,high,1,2,koba,G3,C,A3,G3,E1,2
2,1,2,1,77,11,low,2,2,modi,A33,L,A33,C31,J3,0
2,1,2,1,78,12,low,1,2,sarl,C31,R,J3,A33,C31,1
1,1,2,2,67,1,low,2,1,chev,E3,R,I1,E3,B2,1
1,1,2,2,68,2,high,1,1,darg,A1,R,J2,A1,B23,1
1,1,2,2,69,3,low,1,1,gazzer,I1,C,E3,B2,I1,2
1,1,2,2,70,4,high,2,1,wilp,B23,L,B23,J2,A1,0
1,1,2,2,71,5,high,2,1,heab,J2,C,A1,B23,J2,2
1,1,2,2,72,6,low,1,1,kulp,B2,L,B2,I1,E3,0
1,1,2,2,73,7,high,1,2,darg,A1,L,A1,B23,J2,0
1,1,2,2,74,8,low,2,2,chev,E3,L,E3,B2,I1,0
1,1,2,2,75,9,high,2,2,wilp,B23,C,J2,A1,B23,2
1,1,2,2,76,10,low,1,2,gazzer,I1,R,B2,I1,E3,1
1,1,2,2,77,11,low,1,2,kulp,B2,C,I1,E3,B2,2
1,1,2,2,78,12,high,2,2,heab,J2,R,B23,J2,A1,1
